epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1898,3.09352,4.93749,4.29828,0,0,0,0,2.16462,3.72581,4.15343,0.0001251,0.0001251,0.0001251
2,60.0911,3.01568,4.84301,4.23476,0,0,0,0,2.16965,3.66729,4.12211,0.000249333,0.000249333,0.000249333
3,87.9437,3.05595,4.83847,4.18516,0.0008,0.2,0.00135,0.00082,2.17157,3.61444,4.08805,0.000368448,0.000368448,0.000368448
4,117.273,3.11405,4.7344,4.14802,0.00063,0.2,0.00181,0.0008,2.15689,3.58584,4.04756,0.00039223,0.00039223,0.00039223
5,144.617,3.00196,4.64181,4.12058,0.00779,0.64247,0.01129,0.0042,2.15642,3.49924,4.02109,0.000383974,0.000383974,0.000383974
6,171.774,2.96832,4.62085,4.07185,0.41626,0.06667,0.02442,0.00729,2.36449,4.06777,4.10139,0.000375717,0.000375717,0.000375717
7,198.989,2.89443,4.45838,4.00689,0.43001,0.06238,0.02504,0.00536,2.66242,4.35218,4.0708,0.00036746,0.00036746,0.00036746
8,227.325,2.92561,4.41643,3.93373,0.02347,0.16829,0.02071,0.00523,2.72286,14.062,4.14601,0.000359204,0.000359204,0.000359204
9,254.901,3.00962,4.27068,3.89779,0.22464,0.10045,0.02497,0.00687,2.66265,5.06489,3.9767,0.000350947,0.000350947,0.000350947
10,283.474,2.91088,4.28379,3.81314,0.43798,0.1286,0.02875,0.00655,2.58287,5.92055,3.84289,0.000342691,0.000342691,0.000342691
11,310.831,2.95892,4.26641,3.76451,0.81645,0.03333,0.01866,0.00427,2.55597,6.08402,3.7582,0.000334434,0.000334434,0.000334434
12,338.48,2.92525,4.17887,3.72276,0.26282,0.29734,0.06153,0.0163,2.68263,8.24883,3.84539,0.000326177,0.000326177,0.000326177
13,366.337,3.01847,4.18326,3.69366,0.05887,0.10847,0.05195,0.01454,2.63501,3.45916,3.72153,0.000317921,0.000317921,0.000317921
14,394.945,2.92489,4.0485,3.61157,0.22533,0.03333,0.02187,0.00583,2.53733,3.85431,3.71319,0.000309664,0.000309664,0.000309664
15,422.69,2.82744,4.00699,3.6103,0.28493,0.09357,0.05925,0.01442,2.50019,3.29381,3.6305,0.000301408,0.000301408,0.000301408
16,449.991,2.83687,4.05911,3.56634,0.3429,0.2616,0.15108,0.04272,2.42504,2.94827,3.53128,0.000293151,0.000293151,0.000293151
17,477.216,2.76834,4.05609,3.52031,0.18567,0.2192,0.13059,0.05033,2.41721,2.96134,3.53448,0.000284894,0.000284894,0.000284894
18,504.79,2.76409,4.01288,3.51611,0.32763,0.14326,0.08945,0.03481,2.43742,3.52172,3.50887,0.000276638,0.000276638,0.000276638
19,531.487,2.69102,3.93811,3.47914,0.19177,0.17927,0.09779,0.03932,2.41148,4.62265,3.43431,0.000268381,0.000268381,0.000268381
20,559.125,2.60614,3.94191,3.4557,0.05013,0.1198,0.05032,0.013,2.40286,3.64654,3.40618,0.000260125,0.000260125,0.000260125
21,585.882,2.64485,3.85694,3.40174,0.32402,0.17417,0.14893,0.05663,2.28105,3.01869,3.34455,0.000251868,0.000251868,0.000251868
22,614.571,2.68437,3.85912,3.34109,0.72776,0.11136,0.13619,0.04722,2.21862,3.03618,3.38403,0.000243611,0.000243611,0.000243611
