epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0242,1.58127,5.60984,2.11487,0.48108,0.38344,0.42877,0.22391,1.44004,14.3482,2.38309,0.0001251,0.0001251,0.0001251
2,64.7654,1.35157,2.93967,1.8138,0.49368,0.51102,0.4817,0.25402,1.48653,3.34611,2.27181,0.000253111,0.000253111,0.000253111
3,96.1617,1.3391,2.63865,1.74218,0.56247,0.71034,0.67923,0.40468,1.17526,3.10479,2.02807,0.000379842,0.000379842,0.000379842
4,128.226,1.31634,2.10719,1.77954,0.82076,0.67262,0.79144,0.46242,1.37308,2.80289,2.23134,0.000410808,0.000410808,0.000410808
5,157.733,1.2112,1.91106,1.66849,0.67205,0.69315,0.74746,0.45317,1.26227,2.28487,2.0436,0.000408743,0.000408743,0.000408743
6,185.003,1.2144,1.80961,1.6933,0.68909,0.69806,0.77077,0.43651,1.39268,2.20122,2.24859,0.000406679,0.000406679,0.000406679
7,213.112,1.27763,1.65995,1.72799,0.68553,0.74031,0.78343,0.47468,1.28062,1.32059,2.05189,0.000404615,0.000404615,0.000404615
8,243.356,1.21971,1.49258,1.67718,0.87858,0.81544,0.89175,0.51373,1.28359,1.24597,2.05817,0.000402551,0.000402551,0.000402551
9,273.041,1.18606,1.49217,1.64644,0.86093,0.76485,0.88819,0.48776,1.47207,1.26662,2.16972,0.000400487,0.000400487,0.000400487
10,301.653,1.16409,1.46915,1.63095,0.86067,0.8353,0.9047,0.58575,1.13154,0.99316,1.89264,0.000398423,0.000398423,0.000398423
11,331.415,1.10248,1.35614,1.60437,0.81483,0.83258,0.89759,0.6111,1.12179,0.95408,1.87438,0.000396358,0.000396358,0.000396358
12,361.525,1.1583,1.30948,1.59443,0.80844,0.86331,0.91519,0.59613,1.14107,0.93701,1.85883,0.000394294,0.000394294,0.000394294
13,390.19,1.10578,1.32004,1.55902,0.8287,0.82964,0.89268,0.56782,1.24313,1.11275,2.06137,0.00039223,0.00039223,0.00039223
14,418.637,1.11296,1.20809,1.56222,0.815,0.83347,0.88134,0.5768,1.13199,0.98387,1.85811,0.000390166,0.000390166,0.000390166
15,447.641,1.06248,1.09994,1.51368,0.90367,0.84681,0.91433,0.62534,1.08802,0.86819,1.81383,0.000388102,0.000388102,0.000388102
16,476.662,1.08176,1.15764,1.54947,0.88348,0.87638,0.92002,0.60533,1.16774,0.8759,1.87381,0.000386038,0.000386038,0.000386038
17,503.848,1.03345,1.11047,1.54859,0.9234,0.8629,0.93484,0.66978,0.99279,0.84416,1.66171,0.000383974,0.000383974,0.000383974
18,533.395,1.06953,1.09258,1.50621,0.85493,0.88971,0.92229,0.64824,0.97711,0.83781,1.65771,0.000381909,0.000381909,0.000381909
19,562.114,0.996,1.08336,1.46263,0.8318,0.89545,0.93939,0.66516,1.00084,0.8752,1.67821,0.000379845,0.000379845,0.000379845
20,589.461,0.97914,1.09326,1.48597,0.9222,0.90928,0.95353,0.69143,0.99556,0.7287,1.67434,0.000377781,0.000377781,0.000377781
21,620.22,1.01711,1.06727,1.49333,0.92999,0.89482,0.95821,0.69044,0.99654,0.77566,1.66625,0.000375717,0.000375717,0.000375717
22,648.838,1.01464,1.09626,1.49378,0.93056,0.92116,0.9609,0.70244,0.93117,0.72289,1.59875,0.000373653,0.000373653,0.000373653
23,679.068,0.97815,1.0247,1.47629,0.92259,0.90399,0.95576,0.66527,1.01039,0.78184,1.69161,0.000371589,0.000371589,0.000371589
24,706.957,1.03574,1.01899,1.54415,0.90204,0.93145,0.96542,0.703,0.87423,0.69891,1.55302,0.000369525,0.000369525,0.000369525
25,735.647,0.99686,1.04685,1.48229,0.93756,0.91378,0.96098,0.72561,0.90682,0.68537,1.565,0.00036746,0.00036746,0.00036746
26,764.581,0.98239,1.00823,1.46481,0.87433,0.95598,0.96597,0.71505,0.91491,0.65495,1.54313,0.000365396,0.000365396,0.000365396
27,792.505,0.94828,0.98171,1.45156,0.93698,0.8881,0.96352,0.71568,0.87291,0.68023,1.51278,0.000363332,0.000363332,0.000363332
28,820.26,0.99349,1.01945,1.4603,0.89246,0.92044,0.95167,0.69023,0.89612,0.69725,1.56986,0.000361268,0.000361268,0.000361268
29,848.893,0.97827,0.99508,1.41867,0.90521,0.8935,0.9459,0.70599,0.92261,0.70252,1.54993,0.000359204,0.000359204,0.000359204
30,876.015,0.97901,1.06691,1.46685,0.93287,0.92917,0.97653,0.75897,0.83941,0.62636,1.46939,0.00035714,0.00035714,0.00035714
31,904.49,0.88886,0.89706,1.41627,0.89447,0.9325,0.95752,0.69466,0.93584,0.72387,1.58971,0.000355076,0.000355076,0.000355076
32,931.759,0.85272,0.86995,1.37997,0.89275,0.90959,0.94059,0.74108,0.79056,0.64027,1.42653,0.000353011,0.000353011,0.000353011
33,959.409,0.89745,0.92054,1.39981,0.94405,0.94648,0.97471,0.7704,0.77441,0.58082,1.40857,0.000350947,0.000350947,0.000350947
34,988.387,0.8907,0.93687,1.38435,0.86989,0.93552,0.97006,0.75504,0.8238,0.64703,1.45244,0.000348883,0.000348883,0.000348883
35,1017.73,0.93379,0.93415,1.44554,0.92902,0.92961,0.9634,0.74053,0.81539,0.60762,1.47348,0.000346819,0.000346819,0.000346819
36,1046.15,0.88798,0.81698,1.35095,0.94845,0.94202,0.97504,0.75665,0.8053,0.57248,1.44022,0.000344755,0.000344755,0.000344755
37,1074.33,0.91833,0.87888,1.41311,0.95809,0.92583,0.97867,0.7712,0.78963,0.55737,1.40444,0.000342691,0.000342691,0.000342691
38,1106.53,0.87179,0.78199,1.36592,0.94071,0.94971,0.97753,0.75284,0.77386,0.57622,1.38312,0.000340626,0.000340626,0.000340626
